"","Mean","Stdev","Minimum","Lower quartile","Median","Upper quartile","Maximum"
"ID",2231.5,1288.21278,1,1116.25,2231.5,3346.75,4462
"Y",2.490587,0.836982,1,2,2,3,5
"W",0.626625,0.483755,0,0,1,1,1
"age",60.057149,9.473407,50,52,57,67,90
"gender",1.535858,0.498768,1,1,2,2,2
"edu",4.527342,1.922983,1,3,5,6,8
"hukou",1.581802,0.493318,1,1,2,2,2
"same",1.323846,0.789281,1,1,1,1,4
"hunyin",2.387943,0.946622,1,2,2,2,5
"tongzhu",3.349395,1.898707,0,2,3,4,39
"zipingjj",2.981398,0.630513,1,3,3,3,5
"zipingdj",2.132452,0.870797,1,2,2,3,6
"kanbing",1.551546,0.497392,1,1,2,2,2
"gudu",3.099731,0.959926,1,2,3,4,4
"fudan",3.62035,0.987125,1,3,4,4,5
"zipingxf",2.240251,0.703922,1,2,2,3,5
"baoxiannum",1.266472,0.731978,0,1,1,2,7
"yibaonum",1.085388,0.629982,0,1,1,1,6
"juzhu",1.267369,0.763143,1,1,1,1,5
"phone",1.19117,0.393267,1,1,1,1,2
"exercise",2.046168,1.024087,1,1,2,3,4
"friend",3.098835,1.106259,1,2,3,4,5
"zipingsh",2.156656,0.744628,1,2,2,3,5
