"","Estimate","Std. Error"
"leaf1:W",-1.25,0.807285983459379
"leaf2:W",-1.11111111111111,0.825546780400749
"leaf3:W",-0.742857142857143,0.324268338078302
"leaf4:W",-0.583333333333333,0.505542092694828
"leaf5:W",-0.538461538461539,0.447801693434795
"leaf6:W",-0.527614571092837,0.207957116946891
"leaf7:W",-0.515625,0.138448403968662
"leaf8:W",-0.251131221719454,0.255388146985973
"leaf9:W",-0.476190476190477,0.325392321823139
"leaf10:W",-0.272727272727273,0.457280028327222
"leaf11:W",-0.265789473684212,0.216356597706585
"leaf12:W",-0.25,0.619160085300562
"leaf13:W",-0.230769230769232,0.594869768213875
"leaf14:W",-0.17095652173913,0.107583059171829
"leaf15:W",-0.142857142857143,0.540447230130503
"leaf16:W",-0.122994652406421,0.303054791670456
"leaf17:W",-0.117345067840116,0.132029574911943
"leaf18:W",-0.0952380952380952,0.372477548402549
"leaf19:W",-0.0333333333333331,0.404433674155862
"leaf20:W",0.0178571428571443,0.313971468269904
"leaf21:W",0.102713178294576,0.146855742154757
"leaf22:W",0.112200271452271,0.0906316552220431
"leaf23:W",0.123554473524041,0.159915089974864
"leaf24:W",0.210526315789474,0.486560506961515
"leaf25:W",0.240579710144925,0.259923288810246
"leaf26:W",0.394736842105263,0.430844015204335
"leaf27:W",0.555555555555556,0.488400061753185
"leaf28:W",0.789473684210527,0.366758781681012
